English,Nepali,en_len,ne_len
” This Act shall commence on the ninety-first day of the date of its authentication.,यो ऐन प्रमाणीकरण भएको मितिले एकानब्बेऔँ दिनबाट प्रारम्भ हुनेछ ।,15,10
"Provided that when there is no member over eighteen years of age in the targeted family, nothing contained in this sub-section shall prevent from issuing the food support identity card in the name of the minor member of such family.",तर लक्षित घर परिवारमा अठार वर्ष उमेर पुगेका कुनै पनि सदस्य नभएको अवस्थामा यस उपदफामा लेखिएको कुराले त्यस्तो परिवारका उमेर नपुगेका सदस्यको नाममा खाद्य सहायता परिचयपत्र जारी गर्न बाधा पर्ने छैन ।,40,32
"Investigation, regulation, quality measurement and monitoring: The Government of Nepal and the prescribed body may conduct regulation, inspection, monitoring, investigation and evaluation as to whether or not the health institution and service provider have maintained the quality pursuant to the prescribed standards.","अनुसन्धान, नियमन, गुणस्तर मापन तथा अनुगमन : स्वास्थ्य संस्था तथा सेवा प्रदायकले तोकिएको मापदण्ड अनुरूप गुणस्तर कायम गरे नगरेको सम्बन्धमा नेपाल सरकार र तोकिएको निकायले नियमन, निरीक्षण, अनुगमन, अनुसन्धान र मूल्याङ्कन गर्न सक्नेछ।",42,33
"Information on refusal of mutual legal assistance to be given: If it is refused to provide mutual legal assistance under Section 28 or 29, the Central Authority must give information thereof to the foreign state through the diplomatic channel not later than seven days",पारस्परिक कानूनी सहायता इन्कार गरिएको जानकारी दिनु पर्ने : दफा २८ वा २९ बमोजिम पारस्परिक कानूनी सहायता प्रदान गर्न इन्कार गरिएमा सोको जानकारी केन्द्रीय अधिकारीले सात दिनभित्र कूटनैतिक माध्यम मार्फत विदेशी राज्यलाई दिनु पर्नेछ,44,34
"To carry out necessary coordination to maintain uniformity, continuity and quality in the thematic plan, policy and programmes and to bring effectiveness to the implementation of laws, plans, policies and strategies.","क्षेत्रगत योजना, नीति तथा कार्यक्रममा एकरुपता, निरन्तरता एवं गुणस्तरीयता कायम गर्न तथा कानून, योजना, नीति तथा रणनीतिहरुको कार्यान्वयनमा प्रभावकारिता ल्याउन आवश्यक समन्वय गर्ने।",31,23
The law does not arises from an unlawful act.,गैरकानूनी कामबाट कानून (कानूनी अधिकार) को सिर्जना हुँदैन ।,9,9
"But, in case of a state party case, the recommendation shall have to be made to the Attorney General",तर नेपाल सरकार बादी हुने मुद्दाको हकमा महान्यायाधिवक्ता समक्ष पेश गर्नु पर्नेछ,19,12
"Every woman shall have the right to get necessary counseling, obstetric care, and postpartum contraceptive service","प्रत्येक महिलालाई प्रसूतिकर्मीबाट आवश्यक परामर्श, गर्भवती तथा प्रसूति सेवा, सुत्केरी पश्चातको गर्भ निरोधको सेवा पाउने अधिकार हुनेछ",16,17
"to make suggestions to the Government of Nepal regarding the reforms in terms of legal, policy and institutional measures, required for the promotion and protection of the rights and interests of the Muslim community and the empowerment of such community","मुस्लिम समुदायको हक हितको संरक्षण र सम्बर्द्धन तथा त्यस्तो समुदायको सशक्तीकरणका सम्बन्धमा भइरहेका नीतिगत, कानूनी तथा संस्थागत व्यवस्थामा गर्नु पर्ने सुधारका सम्बन्धमा नेपाल सरकारलाई सुझाव दिने",40,26
Electronic broadcasting Institutions of public communication shall conduct news and other programs in sign language in such a number as specified by the Government of Nepal.,सार्वजनिक सञ्चारका विद्युतीय प्रसारण संस्थाले नेपाल सरकारले तोके बमोजिमको सङ्ख्यामा साङ्गेतक भाषामा समाचार तथा अन्य कार्यक्रम सञ्चालन गर्नु पर्नेछ ।,26,20
"to inform or get the consumers informed regarding the price, quality, quantity, purity and unfair trade activities of the goods or services","उपभोक्तालाई वस्तु वा सेवाको मूल्य, गुणस्तर, परिमाण, शुद्धता तथा अनुचित व्यापारिक क्रियाकलापका सम्बन्धमा सूचित गर्ने वा गराउने",22,17
"Notwithstanding anything stated in sub-sections and (4), an issue not included within the list may be introduced and decided by the Commission, with the agreement of all members present in the meeting.",उपदफा र मा जुनसुकै कुरा लेखिएको भए तापनि आयोगको बैठकमा उपस्थित सबै सदस्यको सहमतिले विषय सुचीमा नपरेको विषयमा पनि छलफल गरी निर्णय गर्न सकिनेछ ।,32,25
For loss or gain.,हानी वा फाइदाको लागि ।,4,5
"Chief of the organization to be responsible: If an organization is entrusted with the guardianship of a child pursuant to this Chapter, the chief of the organization shall be deemed to have the ultimate responsibility for the care and maintenance of the child",संस्थाको प्रमुख जिम्मेवार हुनेः यस परिच्छेद बमोजिम कुनै संस्थाले संरक्षकको जिम्मेवारी पाएको भएमा त्यस्तो संस्था प्रमुख बालबालिकाको हेरचाह तथा पालनपोषणको लागि अन्तिम जिम्मेवार मानिनेछ,43,24
"Whether or not the amounts to be credited to revenue and government funds have been determined, recovered, credited and accounted for in accordance with law, and effort has been made to control revenue leakage","राजस्व तथा सरकारी कोषमा जम्मा हुनुपर्ने रकम कानून बमोजिम निर्धारण, असुली, दाखिला र लेखाङ्कन भए, नभएको र राजस्व चुहावट नियन्त्रण गर्न प्रयास गरे, नगरेको",34,24
Without end or limit.,अनन्त ।,4,2
"While inquiring into the child taken under control, the investigating authority shall make it in the presence of his or her father, mother or guardian or children welfare authority or legal practitioner in a child friendly environment",अनुसन्धान अधिकारीले नियन्त्रणमा लिएका बालबालिकालाई सोधपुछ गर्दा निजको बाबु आमा वा संरक्षक वा बालकल्याण अधिकारी वा कानून व्यवसायीको उपस्थितिमा बालमैत्री वातावरणमा गर्नु पर्नेछ,37,23
"Chapter-3 Compulsory and Free Education To provide compulsory education: After the commencement of this Act, the State shall make provisions to provide compulsory education up to the basic level to every child who has completed four years but not completed thirteen years of age, through every Local Level","परिच्छेद-३ अनिवार्य तथा निःशुल्क शिक्षा, अनिवार्य शिक्षा प्रदान गर्नु पर्नेः यो ऐन प्रारम्भ भएपछि प्रत्येक स्थानीय तह मार्फत्‌ राज्यले चार वर्ष पूरा भई तेह्र वर्ष उमेर पूरा नभएको प्रत्येक बालबालिकालाई आधारभूत तहसम्म अनिवार्य शिक्षा प्रदान गर्ने व्यवस्था गर्नु पर्नेछ",48,39
Act before the fact. (This applies before or a previous act.,घटना घट्नुभन्दा अगाडि गरिएको कार्य ।,11,6
"While diverting a child by adopting the procedure referred to in clauses (d), (e), and of sub-section (1), no diversion shall be made so that it exceeds the maximum term of punishment imposable for the commission of the offence","उपदफा को खण्ड (घ), र बमोजिमको प्रक्रिया अवलम्बन गरी दिशान्तर गर्दा कसूरजन्य कार्य गरे बापत बालबालिकालाई हुन सक्ने अधिकतम सजायभन्दा बढी अवधि हुने गरी दिशान्तर गरिने छैन",39,27
Before all other things.,अन्य सबै भन्दा अगाडि ।,4,5
"After the Fund has taken a property as a security or wealth guarantee pursuant to Clause or Section 19A, the borrower shall not furnish such a property as a security in favor of, or usufruct it or otherwise transfer his or her title in it, to another person, and if the registration making office is requested by the Fund to withhold that person, the office shall withhold it.",यस्तो स्थितिमा त्यस्तो सम्पत्तिको लगत राख्ने वा मालपोत असूल गर्ने सरकारी कार्यालयहरुले कोषको जनाउ बमोजिम आफ्ना कार्यालयमा रहेको स्रेस्तामा तदनुसार नामसारी दाखिल खारेज आदि जो गर्नुपर्ने कारबाही कुनै दस्तुर नलिई गरिदिनु पर्छ ।,68,33
Family or person willing to provide care to the child,बालबालिकालाई हेरचाह गर्न इच्छुक परिवार वा व्यक्ति,10,7
"Provisions relating to price of medicine, prescription, pharmacy and free medicine: The physicians and health workers shall, while prescribing a medicine, write a generic name of the medicine.","औषधिको मूल्य, प्रेस्क्रिप्सन,फार्मेसि र निशुल्क औषधि सम्बन्धी व्यवस्था : चिकित्सक तथा स्वास्थ्यकर्मीहरूले औषधि सिफारिस गर्नु पर्दा जेनेरिक नाम लेख्नु पर्नेछ।",28,20
"In appointing an auditor pursuant to sub-section (1), the corporate body shall consult the Auditor General",उपदफा बमोजिम प्राप्त प्रतिवेदनबाट त्यस्तो सङ्गठित संस्थाको लेखा सम्बन्धमा कुनै त्रुटि देखिएमा त्यस्तो त्रुटिको सम्बन्धमा महालेखापरीक्षकले सम्बन्धित सङ्गठित संस्था र लेखापरीक्षकलाई आवश्यक निर्देशन दिन सक्नेछ र त्यस्तो निर्देशन पालना गर्नु सम्बन्धित सङ्गठित संस्था र लेखापरीक्षकको कर्तव्य हुनेछ,16,37
"Work, performance of the Commission not to be interrupted: The vacancy of posts of the Chairperson and/ or any Member shall not interrupt the works of the Commission",आयोगको काम कारबाहीमा बाधा नपर्न: कुनै सदस्यको स्थान रिक्त रहेको कारणले मात्र आयोगको काम कारबाहीमा बाधा पर्ने छैन,28,18
"While carrying out inspection, investigation or search pursuant to sub- section (2), if it seems unsafe, affected goods or goods having no quality are being produced or sold and distributed, or service provided or activities are contrary to this Act and the rules framed under this Act, the Inspection Officer may impose restriction on producing or selling and distribution of such goods or providing services for prescribed period by taking samples of such goods as prescribed","उपदफा बमोजिम निरीक्षण, जाँचबुझ वा खानतलासी गर्दा असुरक्षित, असरयुक्त वा गुणस्तर नभएको वस्तुको उत्पादन वा बिक्री वितरण भइरहेको वा सेवा प्रदान गरेको वा यस ऐन वा यस ऐन अन्तर्गत बनेको नियम विपरीत काम कारबाही भइरहेको देखिएमा निरीक्षण अधिकृतले त्यस्तो वस्तुको तोकिए बमोजिम नमुना लिई तोकिएको अवधिको लागि त्यस्तो वस्तुको उत्पादन वा बिक्री वितरण गर्न वा सेवा प्रदान गर्न रोक लगाउन सक्नेछ",76,61
To provide suggestion to the Council in order to formulate national policies related to its subject matter.,आफ्नो विषयसँग सम्बन्धित क्षेत्रका राष्ट्रिय नीति तर्जुमाको लागि परिषद्लाई सुझाव दिने।,17,11
"One who act for himself, not through another.","आफै कार्य गर्ने, अर्को प्रतिनिधि नभई । (द. प्र. सं. १३)",8,11
"The quorum of the meeting shall be deemed to have been fulfilled with the presence of more than 50 percent, of the immediate members of the Commission.",आयोगमा तत्काल कायम रहेका पचास प्रतिशतभन्दा बढी सदस्य उपस्थित भएमा आयोगको बैठकको लागि गणपूरक सङ्ख्या पुगेको मानिनेछ ।,27,18
"To provide food for free or concessional price: The Government of Nepal, Provincial Government or Local Level shall provide food support to the targeted households for concessional price and to the targeted households of particular nature for free as prescribed.","निःशुल्क वा सहुलियत मूल्यमा खाद्य सहायता उपलब्ध गराउने: नेपाल सरकार, प्रदेश सरकार वा स्थानीय तहले लक्षित घर परिवारलाई सहुलियत मूल्यमा र खास प्रकृतिका लक्षित घर परिवारलाई तोकिए बमोजिम निःशुल्क खाद्य सहायता उपलब्ध गराउनु पर्नेछ ।",40,35
"Provided that if the accused person is likely to flee or escape or evidence is likely to be destroyed if search is not conducted immediately, it may be entered into by maintaining the record of such matter",तर तत्काल खानतलासी नगरेमा आरोपित व्यक्ति भाग्ने वा उम्कने वा प्रमाण नष्ट हुने भएमा सो कुराको अभिलेख राखी प्रवेश गर्न सकिनेछ,37,21
"If the chairperson or any director is not able to perform the functions of the Board for some time because of illness or being on leave or other reason, the Government of Nepal may temporarily appoint another person in his or her stead for the performance of business during that period.",बिरामी परेको वा बिदामा बसेको वा अन्य कुनै कारणबाट केही समयको लागि अध्यक्ष वा कुनै सञ्चालकले समितिको काम चलाउन नसक्ने भएमा सो समयको लागि काम चलाउन निजको ठाउँमा नेपाल सरकारले अर्को व्यक्तिलाई अस्थायी नियुक्ति गर्न सक्नेछ ।,51,37
"If the Medical Board makes recommendation, in the situation of writing in accordance with Sub-Section, stating that any Judge is unfit to perform the duty due to physical or mental illness, that Judge shall be deemed to have been unfit to perform the duty due to physical or mental illness",उपदफा बमोजिम लेखी पठाइएकोमा मेडिकल बोर्डले कुनै न्यायाधीशलाई शारीरिक वा मानसिक कारणले कार्य सम्पादन गर्न असमर्थ भएको भनी सिफारिस गरेमा त्यस्तो न्यायाधीश शारीरिक वा मानसिक रूपले कार्य सम्पादन गर्न असमर्थ भएको मानिनेछ,50,32
"An auditor shall have the power to inspect all documents the concerning accounts including ledger, books, account, voucher, and goods at any time and he or she may seek answers or explanations from a Director or office bearer of a bank or financial institution on matters, as he or she may deem necessary, in the course of performing his/her duties and carrying out his/her functions in an appropriate manner","लेखापरीक्षकलाई आफ्नो कर्तव्य पालनाको सिलसिलामा जुनसुकै बखत बैङ्क वा वित्तीय संस्थाको खाता, हिसाब किताब, लेखा, भौचर लगायत सबै कागजात र लगतको निरीक्षण गर्ने अधिकार हुनेछ र लेखापरीक्षकले आफ्नो काम उपयुक्त ढंगबाट पूरा गर्ने तथा कर्तव्य पालना गर्ने क्रममा बैङ्क वा वित्तीय संस्थाको पदाधिकारीसँग निजले आवश्यक ठानेको जानकारी र स्पष्टीकरण माग गर्न सक्नेछ",69,52
"Jointly supplying credits on the basis of co-financing, in such areas as the Fund considers appropriate, in collaboration with other banks or financial institutions established under the laws in force in accordance with the mutual agreement entered into for the division of the collateral pari passu.",कोषले उपयुक्त ठह-याएको क्षेत्रमा प्रचलित कानून बमोजिम स्थापित बैङ्क वा वित्तीय संस्थाहरुसँग मिली सहवित्तीयकरणको आधारमा घितो विभाजन (पारिपासु) गर्ने गरी आपसमा भएको सम्झौता अनुसार संयुक्त रुपमा कर्जा दिने।,46,28
"Monitoring and reporting: The person, guardian or organization that has assumed the responsibility of care and maintenance of children pursuant to this Act shall submit details of the children to the Local Child Rights Committee through the Child Welfare Authority concerned, within three weeks of the expiration of each fiscal year","अनुगमन तथा प्रतिवेदन: यस ऐन बमोजिम बालबालिकाको हेरचाह र पालनपोषण गर्न जिम्मा लिएका व्यक्ति, संरक्षक वा संस्थाले बालबालिका सम्बन्धी विवरण प्रत्येक आर्थिक वर्ष समाप्त भएको तीन महिनाभित्र सम्बन्धित बाल कल्याण अधिकारी मार्फत्‌ स्थानीय बाल अधिकार समिति समक्ष पेश गर्नु पर्नेछ",51,40
A first class gazetted officer or an employee of the equal rank of the concerned ministry as designated by the chairperson shall work in the capacity of the secretary to the thematic committee.,अध्यक्षले तोकेको सम्बन्धित मन्त्रालयको राजपत्राङ्कित प्रथम श्रेणी वा सो सरहको कर्मचारीले विषयगत “समितिको सचिवको रुपमा काम गर्नेछ।,33,17
"That which is the will of the ruler (King) has the force of law, since the people have conferred all authority and power upon him.","नागरिक (जनताले) शासक (राजा, राज्य) लाई सम्पूर्ण अधिकारी तथा शक्ति प्रदान गरेको हुनाले निजको इच्छा नै कानूनको शक्ति हो ।",25,20
“Chairperson” means the Chairperson of the Council,“अध्यक्ष” भन्नाले न्याय परिषदको अध्यक्ष सम्झनु पर्छ,7,7
Order made by the crown.,राजाले दिएको आदेश ।,5,4
"While making provision for resettlement pursuant to sub-section, social, cultural aspects and matters of livelihood of the concerned person and family shall also have to be paid attention to as far as possible","उपदफा बमोजिम पुनर्वासको व्यवस्था गर्दा सम्भव भएसम्म सम्बन्धित व्यक्ति तथा परिवारको सामाजिक, सांस्कृतिक पक्ष तथा जीविकोपार्जनको विषयलाई समेत ध्यान दिनु पर्नेछ",33,21
Other provision relating to inspection shall be as prescribed,निरीक्षण सम्बन्धी अन्य व्यवस्था तोकिए बमोजिम हुनेछ,9,7
"Prohibition in sale, distribution and exhibition: No person shall be allowed to or to cause to sell and distribute or provide the tobacco products for free to a person below age of 18 and to pregnant woman",स्वास्थ्यकर कोषको लेखा परीक्षण : स्वास्थ्यकर कोषको लेखा परीक्षण महालेखा परीक्षकबाट हुनेछ,37,12
"For the purpose of Sub-Section , the officer, responsible for providing accurate statement or answer as demanded, shall also furnish forthwith accurate statement or answer to the queries made by an auditor",उपदफा को प्रयोजनको लागि लेखापरीक्षकले मागेका कुराको यथार्थ विवरण तथा जवाफ त्यस्तो विवरण वा जवाफ दिने जिम्मेवारी भएको पदाधिकारीले तुरुन्तै दिनु पर्नेछ,32,22
An award is a judgment.,निर्णय नै फैसला हो ।,5,5
Those who are born of an unlawful union are not counted among the children.,गैरकानूनी सम्बन्धबाट जन्मिएकोलाई छोराछोरीको रुपमा गणना हुँदैन । (विवाहको वैधताको सन्दर्भमा),14,11
“animal health and livestock service professional” means animal health and livestock service professionals registered under this Act,“पशु स्वास्थ्य तथा पशु सेवा व्यवसायी” भन्नाले यस ऐन बमोजिम दर्ता भएका पशु स्वास्थ्य तथा पशु सेवा व्यवसायी सम्झनु पर्छ,17,20
"Decision of the Judicial Council shall be made on the basis of majority and in case of a tie, the Chairperson may cast a decisive vote",न्याय परिषदको निर्णय बहुमतको आधारमा हुनेछ र मत बराबर भएमा अध्यक्षले निर्णायक मत दिनेछ,26,14
Whether or not financial statements truly and correctly reflect the financial transaction of the period mentioned therein,"आम्दानी वा खर्च भएका कलमहरूको पुष्ट्याईं हुने प्रमाण यथेष्ट भए, नभएको",17,11
That which ought to be done is easily presumed.,"जुन विषय गर्न पर्दछ, त्यस्तो विषय सहजै अनुमान गरिन्छ ।",9,10
"Qualifications of Director: A person to be appointed to the office of Director shall have to possess the following qualifications:- Having work experience of at least five years as a Director or office bearer level of a foreign or local bank or financial institution or corporate body of the related sector or at the officer level of the Government of Nepal, or Having earned a bachelor degree and having work experience of at least three years as a Director or office bearer level of a foreign or local bank or financial institution or corporate body of the related sector or at least at the officer level of the Government of Nepal, or Having earned a master degree in the related subject as prescribed","सञ्चालकको योग्यता : सञ्चालकको पदमा नियुक्ति हुने व्यक्तिको योग्यता देहाय बमोजिम हुनुपर्नेछ :- विदेशी वा स्वदेशी बैङ्क वा वित्तीय संस्था वा सम्बन्धित क्षेत्रका संगठित संस्थाको सञ्चालक वा पदाधिकारी तहमा वा नेपाल सरकारको अधिकृत स्तरमा कम्तीमा पाँच वर्ष काम गरेको, वा स्नातकोपाधि हासिल गरेको र विदेशी वा स्वदेशी बैङ्क वा वित्तीय संस्था वा सम्बन्धित क्षेत्रका संगठित संस्थाको सञ्चालक वा पदाधिकारी तहमा वा नेपाल सरकारको कम्तीमा अधिकृत स्तरमा कम्तीमा तीन वर्ष काम गरेको, वा तोकिए बमोजिम सम्बन्धित विषयमा स्नातकोत्तर उपाधि हासिल गरेको",123,80
"The Auditor General may, after completion of the audit of each Rural Municipality or Municipality, issue individual audit reports","महालेखापरीक्षकले यस ऐन बमोजिम जारी गरेको प्रतिवेदनमा उल्लेख गरिएका विषयमा सुधार भए, नभएको र सुझाव कार्यान्वयन भए, नभएको सुनिश्चित गर्न लेखापरीक्षण गरिएका निकायबाट भएका कारबाहीको प्रतिवेदन लिने, जवाफ लिने, कार्यान्वयनका लागि समयावधि तोक्ने, पुनःजाँच गर्ने र त्यस सम्बन्धमा सम्बन्धित निकायलाई आवश्यक निर्देशन दिने लगायतका कार्य गर्न सक्नेछ",19,47
Amounts received from any other source,अन्य कुनै स्रोतबाट प्राप्त हुने रकम,6,6
"When anything is ordered to be done, everything is ordered by which performance of order may be attained.",कुनै काम गर्न आदेश दिइएकोमा त्यस्तो आदेशको पालनामा आवश्यक हुने अन्य जुनसुकै काम पनि आदेश दिइएको हुन्छ ।,18,18
Before the fact.,घटना घट्नुभन्दा अगाडि ।,3,4
"He who clings to the letter, keeps inside the rind; (He who holds by the letter, holds by the bar) (One who considers the letters merely, of an instrument, goes but skips deep into meaning.)","जसले अक्षर मात्र हेरेर अर्थ लगाउँछ, त्यसले सारत अर्थ मात्र बुझ्दछ ।",35,12
"""Audit"" means examination of the accounts and accounts related to the business of the bodies referred to in Section 3 and the analysis and evaluation to be made on the basis thereof, and this term also includes an act of follow-up audit",“लेखापरीक्षण” भन्नाले दफा ३ बमोजिमका निकायको लेखा तथा लेखासँग सम्बन्धित कामको परीक्षण र त्यसको आधारमा गरिने मूल्याङ्कन तथा विश्लेषण सम्झनु पर्छ र सो शब्दले सम्परीक्षण गर्ने कार्यलाई समेत जनाउँछ,42,29
"Cooperation to be extended: It shall be the duty of any agency or official with which the Commission seeks assistance, to cooperate with the Commission in course of the performance of its functions",काम कारबाहीमा सहयोग गर्नु पर्नेः आयोगले आफ्नो कार्य सम्पादनको सिलसिलामा कुनै निकाय वा पदाधिकारीको सहयोग माग गरेमा त्यस्तो सहयोग उपलब्ध गराउनु त्यस्तो निकाय वा पदाधिकारीको कर्तव्य हुनेछ,33,27
"The Chairperson of the Council shall preside over the meeting, and in his or her absence, the Member selected from among the Members shall preside over the meeting",परिषद्को अध्यक्षले बैठकको अध्यक्षता गर्नेछ र निजको अनुपस्थितिमा सदस्यहरू मध्येबाट छानेको सदस्यले बैठकको अध्यक्षता गर्नेछ,28,15
An action by the lessee to reduce the contract price.,करार बमोजिमको मूल्य कम गर्न लिज लिने व्यक्तिले गर्ने उजुरी ।,10,11
Application to be made: A person who is entitled to get the social security allowance pursuant to Section 3 shall make an application to the Local Level concerned to get the social security allowance referred to in this Act,निवेदन दिनु पर्ने: दफा ३ बमोजिम सामाजिक सुरक्षा भत्ता पाउने व्यक्तिले यस ऐन बमोजिमको सामाजिक सुरक्षा भत्ता पाउनको लागि सम्बन्धित स्थानीय तहमा निवेदन दिनु पर्नेछ,39,25
"If it seems appropriate to give any order immediately to the producer or seller in course of inspection or inquiry, the Inspection Officer may give such an order or do such other act as appropriate",निरीक्षण अधिकृतले निरीक्षण वा जाँचबुझको सिलसिलामा उत्पादक वा बिक्रेतालाई तत्काल कुनै आदेश दिन उपयुक्त देखिएमा त्यस्तो आदेश दिन वा उपयुक्त सम्झेको अन्य कार्य गर्न सक्नेछ,35,25
"Chapter-11 Protection and Enforcement of the Rights of, and Responsibility towards, the Persons with Disabilities Application may be made for the enforcement of rights: If any person violates such right of a person with disability or does not fulfil such responsibility towards the person with disability as set forth in this Act, the person with disability himself or herself or any of his or her family members or his or her guardian may make an application to the Chief District Officer of the concerned district for the enforcement or fulfilment of such right or responsibility.",परिच्छेद-११ अपाङ्गता भएका व्यक्तिको अधिकार तथा निज प्रतिको दायित्वको संरक्षण र प्रचलन अधिकारको प्रचलन गराउन निवेदन दिन सक्ने : कसैले यस ऐनमा उल्लेख भएका अपाङ्गता भएका व्यक्तिको अधिकारको उल्लङ्घन गरेमा वा अपाङ्गता भएका व्यक्ति प्रतिको दायित्व पूरा नगरेमा अपाङ्गता भएका व्यक्ति स्वयंले वा निजको परिवारका कुनै सदस्य वा संरक्षकले सो अधिकारको प्रचलन वा दायित्व पूरा गराउनको लागि सम्बन्धित जिल्लाको प्रमुख जिल्ला अधिकारी समक्ष निवेदन दिन सक्नेछ ।,95,67
"Incases bank or financial institution that has failed to the auditing to be carried out within the period referred to in Sub-Section makes a request for an extension of time for the auditing stating reasonable cause, the Rastra Bank may extend the period upto two months",उपदफा बमोजिमको अवधिभित्र लेखापरीक्षण गराउन नसक्ने बैङ्क वा वित्तीय संस्थाले मनासिब कारण खोली लेखापरीक्षण गराउने म्याद थपको लागि अनुरोध गरेमा राष्ट्र बैङ्कले बढीमा दुई महिनाको अवधि थप गर्न सक्नेछ,46,29
"Appeal: A bank or financial institution or a Director, office bearer, shareholder or employee thereof which of who is not satisfied with the actions taken by the Rastra Bank pursuant to Section 99 or punishment imposed pursuant to Section 100, may file an appeal at the court within thirty-five days from the date of getting an order of such actions: Provided that while filing an appeal against an action taken pursuant to Section 99 or punishment imposed pursuant to Section 100 on a bank or financial institution by any shareholder, it has to be filed by a representative of the shareholders representing at least twenty-five percent of the paid up capital of the bank or financial institution","पुनरावेदन : राष्ट्र बैङ्कले दफा ९९ बमोजिम गरेको कारबाही वा दफा १०० बमोजिम गरेको जरिबाना उपर चित्त नबुझाउने बैङ्क वा वित्तीय संस्था वा सोका सञ्चालक, पदाधिकारी, शेयरधनी वा कर्मचारीले त्यस्तो कारबाहीको आदेश पाएको मितिले पैँतीस दिनभित्र अदालत समक्ष पुनरावेदन गर्न सक्नेछ तर बैङ्क वा वित्तीय संस्था उपर दफा ९९ बमोजिम गरेको कारबाही वा दफा १०० बमोजिम गरेको जरिबाना विरुद्ध कुनै शेयरधनीले पुनरावेदन गर्दा तत्काल कायम रहेको चुक्ता पूँजीको कम्तीमा पच्चीस प्रतिशत शेयरको प्रतिनिधित्व हुने गरी शेयरधनीहरुले आफूमध्येबाट चुनेको प्रतिनिधिले पुनरावेदन गर्नु पर्नेछ",117,82
"""Defective product"" means any goods or services that do not contain such minimum safety measures due to any of the following as are reasonably expected by the general people while using any product: defective design, construction, refinement, mixture or installation","“त्रुटिपूर्ण उत्पादन” भन्नाले कुनै उत्पादन उपभोग गर्दा सामान्य मानिसले मनासिब तवरले अपेक्षा गर्ने न्यूनतम सुरक्षाका उपायहरू देहायको कुनै कारणबाट नभएको कुनै वस्तु वा सेवा सम्झनु पर्छः- तुटिपूर्ण डिजाइन, निर्माण, प्रशोधन, मिश्रण वा जडान",40,33
"If any Member nominated pursuant to sub-section fails to perform the duties of his or her office, the Coordination Committee may, at any time, remove such a Member from the office.",उपदफा बमोजिम कुनै सदस्यलाई पदबाट हटाउँदा निजलाई सफाई पेश गर्ने मनासिब मौका दिनु पर्नेछ ।,31,15
"If the manager does not enforce the decision or conciliation pursuant to sub- section, the concerned complainant, may file a petition to the complaint hearing authority by setting out the same details thereof",व्यवस्थापकले उपदफा बमोजिम फैसला वा मिलापत्रको कार्यान्वयन नगरेमा सम्बन्धित उजूरीकर्ताले सोही व्यहोरा खुलाई उजूरी सुन्ने अधिकारी समक्ष निवेदन दिन सक्नेछ,33,20
From the past; from what has previously transpired.,पहिले देखि नै ।,8,4
"When more is done than should have been done, that appears to have been done which was to be done.",गर्नुपर्ने भन्दा बढी गरिएकोमा गर्नुपर्ने काम गरेको ठानिन्छ । (कुनै काम गर्नुपर्ने भन्दा बढी गरिएकोमा अनुमति दिएको हदसम्म त्यस्तो काम कानूनसम्मत भएको ठानिन्छ ।),20,24
"If any process is supposed to be fulfilled prior to using any goods, such process; and harm and injury likely to occur when it is used without fulfilling such process","कुनै वस्तु प्रयोग गर्नुपूर्व कुनै प्रक्रिया पूरा गर्नु पर्ने भए त्यस्तो प्रक्रिया र त्यस्तो प्रक्रिया नपुग्याई प्रयोग गर्दा हुन सक्ने हानि, नोक्सानी",30,22
"Delegation of Power: The Department may delegate some of its powers, obtained by it under this Act, to other body or official as required",अधिकार प्रत्यायोजनः विभागले यस ऐन बमोजिम आफूलाई प्राप्त अधिकारमध्ये केही अधिकार आवश्यकता अनुसार अन्य निकाय वा अधिकारीलाई प्रत्यायोजन गर्न सक्नेछ,24,20
"Notwithstanding anything contained elsewhere in this Act, no bank or financial institution, which has been subjected to mandatory liquidation, shall be recapitalized by making full or partial financing",यस ऐनमा अन्यत्र जुनसुकै कुरा लेखिएको भए तापनि बाध्यात्मक खारेजीमा गएको बैङ्क वा वित्तीय संस्थालाई पूर्ण वा आंशिक रूपमा लगानी गरी पुन: पूँजीकृत गरिने छैन,28,25
